Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_522	bayseq_library_523	bayseq_library_524	bayseq_library_525	bayseq_likelihood	bayseq_FDR	
TMEM150C	NULL	NULL	NULL	NULL	NULL	NULL	0.471215007949593	4.83075168331667	0.13259327119669	1	0.4271038580933	860.850766078051	0.184945143375988	0.0209239299777651	0.794532252770813	661	715	1161	957	0.0378087383680824	0.820630219763788	
GEM	NULL	NULL	NULL	NULL	NULL	NULL	-0.676830075439287	3.68268487198209	0.0336373648676517	0.775871303091691	-0.563248929570541	387.35557146484	0.238789693078797	0.0183358300941891	0.747641666809926	349	568	331	300	0.0353313386811386	0.833566852271148	
BAHCC1	NULL	NULL	NULL	NULL	NULL	NULL	0.420899392499902	4.7065570562599	0.179664707004927	1	0.380267500390819	789.762873488702	0.187094771548373	0.0421044815288903	0.999162683775631	641	645	1040	874	0.0443037673259028	0.800209753420217	
LOC101747352	NULL	NULL	NULL	NULL	NULL	NULL	-2.84886725948684	-2.83890204452026	0.0488720054081774	0.939453030921123	-0.245103924304019	2.29465343393845	0.193033825502233	0.204175127939645	0.999162683775631	2	6	0	1	0.0995001727909014	0.627175409220621	
RWDD4	NULL	NULL	NULL	NULL	NULL	NULL	-0.66760067483185	5.30207973997245	0.0327019984603409	0.772883817270009	-0.603096904333381	1194.73116833168	0.189992833466392	0.00150191135038125	0.173394132838913	1303	1497	899	1048	0.213200623041531	0.419159493641242	
LOC100858078	NULL	NULL	NULL	NULL	NULL	NULL	-2.54686878641176	-1.82134602337463	0.00143778877677196	0.101157693541995	-0.444687091452975	6.92416172304103	0.253410541499708	0.0792919886785289	0.999162683775631	19	3	2	2	0.0341524561172755	0.837530404765036	
LOC100858077	NULL	NULL	NULL	NULL	NULL	NULL	1.32819897550745	-0.554427460990701	0.00658683584030973	0.293761854484776	0.633003534400332	18.4216713414069	0.319460220969877	0.0475376469154861	0.999162683775631	8	12	31	25	0.0398112878880048	0.810997366702136	
RIMBP2	1.65912	0.58265	-1.50972	-1.07898	0.2145	0.999798	1.16525287439653	2.20956982597405	0.000614794035937345	0.053494609216785	0.826982136152321	137.868968272031	0.289660193410866	0.00430357604594558	0.323168093255497	80	82	270	136	0.0663834463209822	0.726209626316211	
LOC101750021	NULL	NULL	NULL	NULL	NULL	NULL	4.78380882738079	-3.03089487828111	0.0195076518776684	0.573350321929261	0.141114387003743	1.61830100434977	0.135792076004509	0.298714258865355	0.999162683775631	0	0	7	0	0.0311029397497707	0.846201266037643	
NDP	NULL	NULL	NULL	NULL	NULL	NULL	-0.927405020817814	0.197495490680457	0.0221175787682742	0.604490441259064	-0.546456926245064	32.8835511597655	0.314415814961404	0.0822095585379623	0.999162683775631	31	52	26	22	0.0133765810086696	0.928148622161994	
